"","Road","Description","LRP.start","Offset.start","Chainage.start","LRP.end","Offset.end","Chainage.end","Length (km)","Heavy Truck","Medium Truck","Small Truck","Large Bus","Medium Bus","Micro Bus","Utility","Car","Auto Rickshaw","Motor Cycle","Bi-Cycle","Cycle Rickshaw","Cart","Motorized","Non Motorized","Total AADT","Segment","Side","PCE"
"2","N1","Jatrabari - Int.with Z1101 (Left) (Left)","LRPS","0","0","LRPS","822","0.822","0.822","402.0","5842.0","1147.0","2842.0","526.0","2010.0","238.0","1851.0","2980.0","398.0","232.0","889.0","0.0","18236.0","1121.0","19357.0","1","L",36445.136
"3","N1","Jatrabari - Int.with Z1101 (Left) (Right)","LRPS","0","0","LRPS","822","0.822","0.822","660.0","6155.0","1554.0","2744.0","971.0","2120.0","480.0","2608.0","2508.0","436.0","213.0","1088.0","0.0","20236.0","1301.0","21537.0","1","R",40351.116
"4","N1","Int.with Z1101 - Signboard (Left) R111 (Left)","LRPS","822","0.822","LRPS","4175","4.175","3.353","660.0","6155.0","1554.0","2744.0","971.0","2120.0","480.0","2608.0","2508.0","436.0","213.0","1088.0","0.0","20236.0","1301.0","21537.0","2","L",40351.116
"5","N1","Int.with Z1101 - Signboard (Left) R111 (Right)","LRPS","822","0.822","LRPS","4175","4.175","3.353","402.0","5842.0","1147.0","2842.0","526.0","2010.0","238.0","1851.0","2980.0","398.0","232.0","889.0","0.0","18236.0","1121.0","19357.0","2","R",36445.136
"6","N1","Signboard - Shimrail (Left)R110 (Left)","LRPS","4175","4.175","LRPS","7181","7.181","3.006","91.0","2706.0","2184.0","2534.0","1773.0","1643.0","314.0","1690.0","2266.0","1087.0","75.0","1198.0","0.0","16288.0","1273.0","17561.0","3","L",30235.244
"7","N1","Signboard - Shimrail (Left)R110 (Right)","LRPS","4175","4.175","LRPS","7181","7.181","3.006","85.0","2544.0","2053.0","2412.0","1688.0","1564.0","298.0","1609.0","2157.0","1035.0","72.0","1140.0","0.0","15445.0","1212.0","16657.0","3","R",28674.172
"8","N1","Shimrail  - Katchpur  (Left)N2 (Left)","LRPS","7181","7.181","LRP009","260","8.763","1.582","174.0","2905.0","1360.0","2576.0","1356.0","1415.0","320.0","1579.0","3154.0","1162.0","211.0","1077.0","0.0","16001.0","1288.0","17289.0","4","L",29168.156
"9","N1","Shimrail  - Katchpur  (Left)N2 (Right)","LRPS","7181","7.181","LRP009","260","8.763","1.582","153.0","2955.0","1566.0","2438.0","1456.0","1299.0","345.0","1948.0","2693.0","1143.0","517.0","1531.0","0.0","15996.0","2048.0","18044.0","4","R",29513.672
"10","N1","Katchpur - Madanpur (Left)N105 (Left)","LRP009","260","8.763","LRP012","439","11.936","3.173","174.0","4965.0","3478.0","3296.0","2791.0","1751.0","249.0","1579.0","3154.0","1154.0","211.0","1077.0","0.0","22591.0","1288.0","23879.0","5","L",42790.504
"11","N1","Katchpur - Madanpur (Left)N105 (Right)","LRP009","260","8.763","LRP012","439","11.936","3.173","153.0","4419.0","3221.0","2880.0","2408.0","2787.0","345.0","2105.0","3080.0","1143.0","517.0","1531.0","0.0","22541.0","2048.0","24589.0","5","R",42514.864
"12","N1","Madanpur - Langalband (Left)Z1061 (Left)","LRP012","439","11.936","LRP013","3411","15.935","3.999","153.0","4419.0","3221.0","2880.0","2408.0","2787.0","345.0","2105.0","3080.0","1143.0","517.0","1531.0","0.0","22541.0","2048.0","24589.0","6","L",42514.864
"13","N1","Madanpur - Langalband (Left)Z1061 (Right)","LRP012","439","11.936","LRP013","3411","15.935","3.999","174.0","4965.0","3478.0","3296.0","2791.0","1751.0","249.0","1579.0","3154.0","1154.0","211.0","1077.0","0.0","22591.0","1288.0","23879.0","6","R",42790.504
"14","N1","Langalband - Mograpara Chowrasta (Left)Z1089 (Left)","LRP013","3411","15.935","LRP013","7520","20.044","4.109","153.0","4419.0","3221.0","2880.0","2408.0","2787.0","345.0","2105.0","3080.0","1143.0","517.0","1531.0","0.0","22541.0","2048.0","24589.0","7","L",42514.864
"15","N1","Langalband - Mograpara Chowrasta (Left)Z1089 (Right)","LRP013","3411","15.935","LRP013","7520","20.044","4.109","174.0","4965.0","3478.0","3296.0","2791.0","1751.0","249.0","1579.0","3154.0","1154.0","211.0","1077.0","0.0","22591.0","1288.0","23879.0","7","R",42790.504
"16","N1","Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)","LRP013","7520","20.044","LRP022","1935","23.564","3.520","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","8","L",28846.484
"17","N1","Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right)","LRP013","7520","20.044","LRP022","1935","23.564","3.520","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","8","R",29182.344
"18","N1","Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)","LRP022","1935","23.564","LRP031","162","30.936","7.372","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","9","L",29182.344
"19","N1","Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right)","LRP022","1935","23.564","LRP031","162","30.936","7.372","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","9","R",28846.484
"20","N1","Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)","LRP031","162","30.936","LRP033","3664","36.271","5.335","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","10","L",28846.484
"21","N1","Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right)","LRP031","162","30.936","LRP033","3664","36.271","5.335","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","10","R",29182.344
"22","N1","Daudkandi Bridge- Daudkandi Z1062 (Left)","LRP033","3664","36.271","LRP033","5859","38.466","2.195","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","11","L",28846.484
"23","N1","Daudkandi Bridge- Daudkandi Z1062 (Right)","LRP033","3664","36.271","LRP033","5859","38.466","2.195","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","11","R",29182.344
"24","N1","Daudkandi Z1062 - Pennai Z1053 (Left)","LRP033","5859","38.466","LRP043","3119","45.388","6.922","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","12","L",24331.336
"25","N1","Daudkandi Z1062 - Pennai Z1053 (Right)","LRP033","5859","38.466","LRP043","3119","45.388","6.922","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","12","R",23911.02
"26","N1","Pennai Z1053- Gouripur (Int.with Z1044) (Left)","LRP043","3119","45.388","LRP043","4955","47.224","1.836","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","13","L",24331.336
"27","N1","Pennai Z1053- Gouripur (Int.with Z1044) (Right)","LRP043","3119","45.388","LRP043","4955","47.224","1.836","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","13","R",23911.02
"28","N1","Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left)","LRP043","4955","47.224","LRP043","13208","55.477","8.253","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","14","L",23911.02
"29","N1","Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right)","LRP043","4955","47.224","LRP043","13208","55.477","8.253","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","14","R",24331.336
"30","N1","Eliotganj Z1042- Madhaya Z1017 (Left)","LRP043","13208","55.477","LRP043","20009","62.278","6.801","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","15","L",24331.336
"31","N1","Eliotganj Z1042- Madhaya Z1017 (Right)","LRP043","13208","55.477","LRP043","20009","62.278","6.801","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","15","R",23911.02
"32","N1","Madhaya Z1017 - Chandina Z1022 (Left)","LRP043","20009","62.278","LRP067","3912","69.638","7.360","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","16","L",24331.336
"33","N1","Madhaya Z1017 - Chandina Z1022 (Right)","LRP043","20009","62.278","LRP067","3912","69.638","7.360","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","16","R",23911.02
"34","N1","Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Left)","LRP067","3912","69.638","LRP076","1760","75.589","5.951","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","17","L",26818.948
"35","N1","Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Right)","LRP067","3912","69.638","LRP076","1760","75.589","5.951","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","17","R",27900.728
"36","N1","Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left)","LRP076","1760","75.589","LRP076","8017","81.846","6.257","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","18","L",26818.948
"37","N1","Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right)","LRP076","1760","75.589","LRP076","8017","81.846","6.257","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","18","R",27900.728
"38","N1","Mainamati  N102- Int.with Z1029 (Left)","LRP076","8017","81.846","LRP076","12068","85.897","4.051","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","19","L",26818.948
"39","N1","Mainamati  N102- Int.with Z1029 (Right)","LRP076","8017","81.846","LRP076","12068","85.897","4.051","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","19","R",27900.728
"40","N1","Int.with Z1029 - Int.with Z1052 (Left)","LRP076","12068","85.897","LRP076","13537","87.366","1.469","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","20","L",26818.948
"41","N1","Int.with Z1029 - Int.with Z1052 (Right)","LRP076","12068","85.897","LRP076","13537","87.366","1.469","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","20","R",27900.728
"42","N1","Int.with Z1052 - Changani (Kotbari) (Left)","LRP076","13537","87.366","LRP091","897","89.41","2.044","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","21","L",24012.476
"43","N1","Int.with Z1052 - Changani (Kotbari) (Right)","LRP076","13537","87.366","LRP091","897","89.41","2.044","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","21","R",23595.92
"44","N1","Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left)","LRP091","897","89.41","LRP093","1090","91.583","2.173","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","22","L",24012.476
"45","N1","Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right)","LRP091","897","89.41","LRP093","1090","91.583","2.173","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","22","R",23595.92
"46","N1","Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left)","LRP093","1090","91.583","LRP105","3631","105.879","14.296","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","23","L",24012.476
"47","N1","Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right)","LRP093","1090","91.583","LRP105","3631","105.879","14.296","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","23","R",23595.92
"48","N1","Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left)","LRP105","3631","105.879","LRP105","17450","119.698","13.819","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","24","L",24012.476
"49","N1","Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right)","LRP105","3631","105.879","LRP105","17450","119.698","13.819","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","24","R",23595.92
"50","N1","Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left)","LRP105","17450","119.698","LRP142","230","138.869","19.171","459.0","3515.0","726.0","761.0","304.0","688.0","251.0","508.0","929.0","324.0","33.0","121.0","0.0","8465.0","154.0","8619.0","25","L",17054.872
"51","N1","Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Right)","LRP105","17450","119.698","LRP142","230","138.869","19.171","398.0","3838.0","863.0","780.0","314.0","674.0","306.0","589.0","760.0","353.0","36.0","115.0","0.0","8875.0","151.0","9026.0","25","R",17860.488
"52","N1","Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left)","LRP142","230","138.869","LRP143","500","140.251","1.382","459.0","3515.0","726.0","761.0","304.0","688.0","251.0","508.0","929.0","324.0","33.0","121.0","0.0","8465.0","154.0","8619.0","26","L",17054.872
