"","Road","roadID","Chainage.start","Chainage.end","width","nrLanes"
"1","N1",1585,0,0.13,29.7,8
"2","N1",1585,0.13,0.4,14,4
"3","N1",1585,0.4,1.05,28.3,8
"4","N1",1585,1.05,5.1,16.5,5
"5","N1",1585,5.1,6.2,16.2,5
"6","N1",1585,6.2,6.89,16,5
"7","N1",1585,6.89,7.33,26,8
"8","N1",1585,7.33,7.9,28,8
"9","N1",1585,7.9,8.9,14.9,4
"10","N1",1585,8.9,9.8,15,4
"11","N1",1585,9.8,10.45,14.6,4
"12","N1",1585,10.45,11.62,14.9,4
"13","N1",1585,11.62,12.1,28,8
"14","N1",1585,12.1,12.4,10.3,3
"15","N1",1585,12.4,17.22,14.6,4
"16","N1",1585,17.22,19.9,14.6,4
"17","N1",1585,19.9,20.2,14.6,4
"18","N1",1585,20.2,22.33,14.8,4
"19","N1",1585,22.33,22.8,46.9,6
"20","N1",1585,22.8,25.33,14.4,4
"21","N1",1585,25.33,27.2,14.8,4
"22","N1",1585,27.2,27.7,14.8,4
"23","N1",1585,27.7,31.36,15,4
"24","N1",1585,31.36,36.271,14.5,4
"25","N1",1585,36.271,37.607,15.3,5
"26","N1",1585,37.607,41.761,14.5,4
"27","N1",1585,41.761,45.819,18.9,6
"28","N1",1585,45.819,54.029,18.9,6
"29","N1",1585,54.029,229.046,18.8,6
"30","N1",1585,229.046,230.606,25.7,8
"31","N1",1585,230.606,232.754,18.6,6
"32","N1",1585,241.063,242.076,7.1,2
"33","N1",1585,242.076,242.556,7.2,2
"34","N1",1585,242.556,245.156,15,4
"35","N1",1585,245.156,246.856,7.2,2
"36","N1",1585,246.856,247.816,8,2
"37","N1",1585,247.816,254.897,7,2
"38","N1",1585,254.897,259.599,7,2
"39","N1",1585,259.599,260.499,7,2
"40","N1",1585,260.499,261.91,8.2,2
"41","N1",1585,261.91,263.41,7.3,2
"42","N1",1585,263.41,264.11,7.3,2
"43","N1",1585,264.11,267.25,8.2,2
"44","N1",1585,267.25,270.205,7.2,2
"45","N1",1585,270.205,272.405,8.2,2
"46","N1",1585,272.405,281.139,7.2,2
"47","N1",1585,281.139,286.489,8,2
"48","N1",1585,286.489,287.354,7,2
"49","N1",1585,287.354,297.229,7.2,2
"50","N1",1585,297.229,297.902,7.1,2
"51","N1",1585,297.902,328.948,7.1,2
"52","N1",1585,328.948,329.611,7.2,2
"53","N1",1585,329.611,380.568,6.8,2
"54","N1",1585,380.568,406.49,5.8,2
"55","N1",1585,406.49,406.994,7,2
"56","N1",1585,406.994,411.091,5.9,2
"57","N1",1585,411.091,416.136,5.9,2
"58","N1",1585,416.136,423.239,5.9,2
"59","N1",1585,423.239,429.682,5.8,2
"60","N1",1585,429.682,437.968,5.8,2
"61","N1",1585,437.968,444.511,5.7,2
"62","N1",1585,444.511,451.519,5.6,2
"63","N1",1585,451.519,459.326,5.7,2
"64","N1",1585,459.326,462.254,6.3,2
"65","N101",1622,0,6.021,7,2
"66","N102",1522,0,1.1,6.5,2
"67","N102",1522,1.1,2.25,5.7,2
"68","N102",1522,2.25,2.76,5.8,2
"69","N102",1522,2.76,2.96,5.6,2
"70","N102",1522,2.96,7,6,2
"71","N102",1522,7,9.4,6.2,2
"72","N102",1522,9.4,11.2,6,2
"73","N102",1522,11.2,14.45,5.6,2
"74","N102",1522,14.45,14.7,5.5,2
"75","N102",1522,14.7,15,5.7,2
"76","N102",1522,15,16,5.7,2
"77","N102",1522,16,19.6,5.7,2
"78","N102",1522,19.6,20.8,5.6,2
"79","N102",1522,20.8,21.48,5.7,2
"80","N102",1522,21.48,25.5,6,2
"81","N102",1522,25.5,25.8,5.3,1.5
"82","N102",1522,25.8,25.9,6,2
"83","N102",1522,25.9,27.55,7.2,2
"84","N102",1522,27.55,30.1,6.1,2
"85","N102",1522,30.1,35,6,2
"86","N102",1522,35,35.4,6,2
"87","N102",1522,35.4,37.5,5.6,2
"88","N102",1522,37.5,41.4,5.6,2
"89","N102",1522,41.4,46.5,5.6,2
"90","N102",1522,46.5,53.2,5.7,2
"91","N102",1522,53.2,53.7,5.4,1.5
"92","N102",1522,53.7,54.6,5.8,2
"93","N102",1522,54.6,54.9,5.6,2
"94","N102",1522,54.9,55.5,5.6,2
"95","N102",1522,55.5,65.9,5.3,1.5
"96","N102",1522,65.9,70,5.5,2
"97","N102",1522,70,72.05,7.2,2
"98","N102",1522,72.05,72.3,7,2
"99","N102",1522,72.3,75.8,7.2,2
"100","N102",1522,75.8,78.8,6,2
"101","N102",1522,78.8,82.682,6.1,2
"102","N103",1371,0,0.05,7.32,2
"103","N103",1371,0.05,0.639,6.9,2
"104","N103",1371,0.639,1.109,9,3
"105","N103",1371,1.109,1.809,10,3
"106","N103",1371,1.809,1.849,8.5,2
"107","N103",1371,1.849,1.999,10,3
"108","N103",1371,1.999,2.109,6.8,2
"109","N103",1371,2.109,2.389,5.5,2
"110","N103",1371,2.389,2.479,8.5,2
"111","N103",1371,2.479,3.109,5.5,2
"112","N103",1371,3.109,3.209,7.32,2
"113","N103",1371,3.209,3.439,5.5,2
"114","N103",1371,3.439,3.589,10,3
"115","N103",1371,3.589,4.779,7.5,2
"116","N104",1523,0,1.8,15.4,4
"117","N104",1523,1.8,2,7.2,2
"118","N104",1523,2,3.33,7.2,2
"119","N104",1523,3.33,5.2,7.3,2
"120","N104",1523,5.2,7.41,7.2,2
"121","N104",1523,7.41,14.515,7.2,2
"122","N104",1523,14.515,14.865,7,2
"123","N104",1523,14.865,16.1,5.6,2
"124","N104",1523,16.1,19.814,6,2
"125","N104",1523,19.814,20.014,6,2
"126","N104",1523,20.014,28.278,6.2,2
"127","N104",1523,28.278,29.83,6,2
"128","N104",1523,29.83,29.97,5.5,2
"129","N104",1523,29.97,31.05,6.1,2
"130","N104",1523,31.05,35.15,14.2,4
"131","N104",1523,35.15,35.23,7.32,2
"132","N104",1523,35.23,41.88,7.32,2
"133","N104",1523,41.88,43.36,7.9,2
"134","N104",1523,43.36,43.78,10.5,3
"135","N104",1523,43.78,44.82,9.8,3
"136","N104",1523,44.82,45.42,7.32,2
"137","N104",1523,45.42,47.046,5.7,2
"138","N104",1523,47.046,48.367,7.5,2
"139","N104",1523,48.367,49.63,7.5,2
"140","N105",1521,0,0.4,15.2,4
"141","N105",1521,0.4,1.5,7.2,2
"142","N105",1521,1.5,3.4,7.25,2
"143","N105",1521,3.4,5.1,7.25,2
"144","N105",1521,5.1,6.32,7.28,2
"145","N105",1521,6.32,6.41,8.55,2
"146","N105",1521,6.41,7.76,7.28,2
"147","N105",1521,7.76,7.91,7.3,2
"148","N105",1521,7.91,12.803,7.25,2
"149","N105",1521,12.803,12.92,8.51,2
"150","N105",1521,12.92,13.78,7.28,2
"151","N105",1521,13.78,15.3,7.3,2
"152","N105",1521,15.3,18.33,7.2,2
"153","N105",1521,18.33,19.6,7.3,2
"154","N105",1521,19.6,20,150,4
"155","N105",1521,20,20.37,16,4
"156","N105",1521,20.37,21.37,16,4
"157","N105",1521,21.37,23.5,7.25,2
"158","N105",1521,23.5,25.4,7.27,2
"159","N105",1521,25.4,27.4,7.23,2
"160","N105",1521,27.4,29.6,7.27,2
"161","N105",1521,29.6,31.125,7.24,2
"162","N105",1521,31.125,31.26,10,3
"163","N105",1521,31.26,31.46,14.6,4
"164","N105",1521,31.46,31.68,10.4,3
"165","N105",1521,31.68,33.6,7.26,2
"166","N105",1521,33.6,33.73,12.9,4
"167","N105",1521,33.73,33.87,14.6,4
"168","N105",1521,33.87,33.95,11.4,3
"169","N105",1521,33.95,36.14,7.26,2
"170","N105",1521,36.14,36.24,9,3
"171","N105",1521,36.24,38.45,7.26,2
"172","N105",1521,38.45,40.3,7.21,2
"173","N105",1521,40.3,42.4,7.3,2
"174","N105",1521,42.4,44.5,7.31,2
"175","N105",1521,44.5,45.9,7.27,2
"176","N105",1521,45.9,46.1,12,4
"177","N105",1521,46.1,46.15,12,4
"178","N105",1521,46.15,48.68,7.3,2
"179","N105",1521,48.68,48.881,14.4,4
"180","N106",1379,0,0.15,14.8,4
"181","N106",1379,0.15,2.04,7.1,2
"182","N106",1379,2.04,4.473,14.62,4
"183","N106",1379,4.473,7.73,14.62,4
"184","N106",1379,7.73,7.88,14.1,4
"185","N106",1379,7.88,9.55,14.6,4
"186","N106",1379,9.55,12.93,6.3,2
"187","N106",1379,12.93,13.05,7.8,2
"188","N106",1379,13.05,19.27,5.6,2
"189","N106",1379,19.27,19.48,7.35,2
"190","N106",1379,19.48,24.45,5.65,2
"191","N106",1379,24.45,29.5,6.2,2
"192","N106",1379,29.5,36.4,7.3,2
"193","N106",1379,36.4,43.7,7.3,2
"194","N106",1379,43.7,51.4,7.4,2
"195","N106",1379,51.4,56.5,7.25,2
"196","N106",1379,56.5,60.6,7.35,2
"197","N106",1379,60.6,61.79,9,3
"198","N106",1379,61.79,64.5,7.7,2
"199","N106",1379,64.5,66.85,7.4,2
"200","N107",1372,0,0.25,7.8,2
"201","N107",1372,0.25,1.4,5.73,2
"202","N107",1372,1.4,2.1,5.76,2
"203","N107",1372,2.1,3.8,5.7,2
"204","N107",1372,3.8,4.8,5.72,2
"205","N107",1372,4.8,6.3,5.56,2
"206","N107",1372,6.3,8.2,5.62,2
"207","N107",1372,8.2,10.542,5.58,2
"208","N108",1344,0,0.04,13,4
"209","N108",1344,0.04,1.8,5.8,2
"210","N108",1344,1.8,3.1,5.82,2
"211","N108",1344,3.1,6.2,5.67,2
"212","N108",1344,6.2,10.4,5.65,2
"213","N108",1344,10.4,14.4,5.64,2
"214","N108",1344,14.4,17.71,5.64,2
"215","N108",1344,17.71,21.473,5.64,2
"216","N108",1344,21.473,21.746,8,2
"217","N108",1344,21.746,22.541,9.5,3
"218","N109",1627,0,0.4,16.1,4
"219","N109",1627,0.4,1,5.9,2
"220","N109",1627,1,1.46,5.9,2
"221","N109",1627,1.46,1.55,10,3
"222","N109",1627,1.55,2.01,5.9,2
"223","N109",1627,2.01,2.51,15.8,4
"224","N110",1494,0,4.78,8,2
"225","N110",1494,4.78,6.47,5.7,2
"226","N110",1494,6.47,8.2,6.4,2
"227","N111",1694,0,0.06,12.7,4
"228","N111",1694,0.06,0.595,7.3,2
"229","N111",1694,0.595,0.694,13.6,4
"230","N111",1694,0.694,4.4,7.25,2
"231","N111",1694,4.4,7.6,7.3,2
"232","N111",1694,7.6,10.04,7.25,2
"233","N111",1694,10.04,10.24,3.7,1
"234","N111",1694,10.24,10.5,23.1,6
"235","N111",1694,10.5,10.93,7.3,2
"236","N111",1694,10.93,11.39,7.3,2
"237","N111",1694,11.39,11.46,13.2,4
"238","N111",1694,11.46,12.66,7.3,2
"239","N112",1703,0,0.02,15,4
"240","N112",1703,0.02,1.18,5.5,2
"241","N112",1703,1.18,1.23,7.5,2
"242","N112",1703,1.23,2.02,5.5,2
"243","N112",1703,2.02,2.72,3.7,1
"244","N119",1734,0,0.03,9.5,3
"245","N119",1734,0.03,1.52,5.6,2
"246","N119",1734,1.52,1.94,5.6,2
"247","N119",1734,1.94,2.85,5.6,2
"248","N120",1735,0,0.12,21,6
"249","N120",1735,0.12,0.13,10.5,3
"250","N120",1735,0.13,3.49,10.5,3
"251","N120",1735,3.49,5.1,18,4
"252","N120",1735,5.1,5.45,5.5,2
"253","N120",1735,5.45,5.59,5.5,2
"254","N120",1735,5.59,6.08,5.5,2
"255","N120",1735,6.08,6.68,7.3,2
"256","N120",1735,6.68,7.5,7.3,2
"257","N120",1735,7.5,7.76,7.3,2
"258","N120",1735,7.76,8.86,5.5,2
"259","N120",1735,8.86,9,7.3,2
"260","N120",1735,9,13.62,5.5,2
"261","N120",1735,13.62,13.94,7.3,2
"262","N120",1735,13.94,18.52,5.5,2
"263","N120",1735,18.52,20.94,5.5,2
"264","N123",1720,0,0.098,8,2
"265","N123",1720,0.098,0.22,8,2
"266","N123",1720,0.22,7.25,6.7,2
"267","N123",1720,7.25,8.06,6.65,2
"268","N124",1721,0,0.857,7.7,2
"269","N125",1722,0,1.14,7.8,2
"270","N126",1723,0,1.345,6.38,2
"271","N127",1724,0,0.305,7.4,2
"272","N128",1725,0,0.55,9.98,3
"273","N128",1725,0.55,1.297,10,3
"274","N129",1726,0,0.99,7.4,2
"275","N129",1726,0.99,2.41,10,3
"276","N129",1726,2.41,2.66,7.3,2
"277","N129",1726,2.66,2.79,10,3
"278","N2",1479,0,0.13,15.2,4
"279","N2",1479,0.13,0.26,14,4
"280","N2",1479,0.26,1.56,11.5,3
"281","N2",1479,1.56,2.26,7.4,2
"282","N2",1479,2.26,2.416,7.4,2
"283","N2",1479,2.416,4.346,7,2
"284","N2",1479,4.346,4.526,9,3
"285","N2",1479,4.526,5.926,7.3,2
"286","N2",1479,5.926,6.176,7.4,2
"287","N2",1479,6.176,10.996,7.3,2
"288","N2",1479,10.996,11.276,14,4
"289","N2",1479,11.276,11.486,11.5,3
"290","N2",1479,11.486,11.796,7.5,2
"291","N2",1479,11.796,20.871,7.3,2
"292","N2",1479,20.871,20.971,7.3,2
"293","N2",1479,20.971,25.416,7.3,2
"294","N2",1479,25.416,26.036,13.4,4
"295","N2",1479,26.036,26.326,7.8,2
"296","N2",1479,26.326,27.376,7.4,2
"297","N2",1479,27.376,27.626,13.4,4
"298","N2",1479,27.626,27.876,13.4,4
"299","N2",1479,27.876,28.426,14,4
"300","N2",1479,28.426,29.826,7.4,2
"301","N2",1479,29.826,30.076,13.4,4
"302","N2",1479,30.076,30.426,140,4
"303","N2",1479,30.426,33.436,7.4,2
"304","N2",1479,33.436,33.606,18,6
"305","N2",1479,33.606,35.866,7.4,2
"306","N2",1479,35.866,36.816,10,3
"307","N2",1479,36.816,37.366,20,6
"308","N2",1479,37.366,41.446,7.4,2
"309","N2",1479,41.446,41.666,9,3
"310","N2",1479,41.666,42.281,7.5,2
"311","N2",1479,42.281,42.526,7.5,2
"312","N2",1479,42.526,42.616,17,4
"313","N2",1479,42.616,42.766,17,4
"314","N2",1479,42.766,42.916,14,4
"315","N2",1479,42.916,50.171,7.5,2
"316","N2",1479,50.171,50.391,17,4
"317","N2",1479,50.391,51.671,7.5,2
"318","N2",1479,51.671,51.871,16,4
"319","N2",1479,51.871,52.671,7.5,2
"320","N2",1479,52.671,52.821,16,4
"321","N2",1479,52.821,54.436,7.5,2
"322","N2",1479,54.436,54.726,16.4,4
"323","N2",1479,54.726,58.876,7.5,2
"324","N2",1479,58.876,59.126,16,4
"325","N2",1479,59.126,63.848,7.5,2
"326","N2",1479,63.848,64.048,16,4
"327","N2",1479,64.048,68.948,7.4,2
"328","N2",1479,68.948,69.498,9.5,3
"329","N2",1479,69.498,70.098,8,2
"330","N2",1479,70.098,70.848,16,4
"331","N2",1479,70.848,71.108,12,3
"332","N2",1479,71.108,73.598,17,4
"333","N2",1479,73.598,73.848,13.5,4
"334","N2",1479,73.848,74.173,12,3
"335","N2",1479,74.173,85.713,7.4,2
"336","N2",1479,85.713,85.963,14,4
"337","N2",1479,85.963,89.746,7.5,2
"338","N2",1479,89.746,89.926,7.4,2
"339","N2",1479,89.926,92.246,7.4,2
"340","N2",1479,92.246,92.796,16,4
"341","N2",1479,92.796,93.551,10.6,3
"342","N2",1479,93.551,99.116,7.4,2
"343","N2",1479,99.116,99.246,7.4,2
"344","N2",1479,99.246,107.706,7.4,2
"345","N2",1479,107.706,108.166,21,6
"346","N2",1479,108.166,116.126,7.4,2
"347","N2",1479,116.126,116.516,13,4
"348","N2",1479,116.516,121.881,7.4,2
"349","N2",1479,121.881,121.976,7.4,2
"350","N2",1479,121.976,131.136,7.4,2
"351","N2",1479,131.136,131.236,8,3
"352","N2",1479,131.236,135.026,7.4,2
"353","N2",1479,135.026,135.091,7.4,2
"354","N2",1479,135.091,141.181,7.5,2
"355","N2",1479,141.181,141.431,16,4
"356","N2",1479,141.431,142.056,7.4,2
"357","N2",1479,142.056,145.841,7.4,2
"358","N2",1479,145.841,146.081,16,4
"359","N2",1479,146.081,154.281,7.4,2
"360","N2",1479,154.281,154.501,7.4,2
"361","N2",1479,154.501,157.311,7.4,2
"362","N2",1479,157.311,157.611,10.5,3
"363","N2",1479,157.611,159.736,7.4,2
"364","N2",1479,159.736,159.936,10.5,3
"365","N2",1479,159.936,161.221,7.4,2
"366","N2",1479,161.221,161.441,10.4,3
"367","N2",1479,161.441,164.406,7.4,2
"368","N2",1479,164.406,164.506,10.4,3
"369","N2",1479,164.506,166.971,7.4,2
"370","N2",1479,166.971,167.041,10.4,3
"371","N2",1479,167.041,169.363,7.4,2
"372","N2",1479,169.363,169.488,10.4,3
"373","N2",1479,169.488,174.593,7.4,2
"374","N2",1479,174.593,174.793,10.4,3
"375","N2",1479,174.793,179.345,7.4,2
"376","N2",1479,179.345,179.595,10,3
"377","N2",1479,179.595,181.58,7.4,2
"378","N2",1479,181.58,181.73,16,4
"379","N2",1479,181.73,190.82,7.4,2
"380","N2",1479,190.82,190.97,16,4
"381","N2",1479,190.97,191.76,8,2
"382","N2",1479,191.76,191.91,7.4,2
"383","N2",1479,191.91,192.16,8,3
"384","N2",1479,192.16,201.373,7.4,2
"385","N2",1479,201.373,202.133,7.4,2
"386","N2",1479,202.133,204.388,7.5,2
"387","N2",1479,204.388,205.493,7.4,2
"388","N2",1479,205.493,209.043,7.4,2
"389","N2",1479,209.043,209.373,7.4,2
"390","N2",1479,209.373,214.278,7.4,2
"391","N2",1479,214.278,214.708,7.4,2
"392","N2",1479,214.708,219.488,7.4,2
"393","N2",1479,219.488,219.888,7.4,2
"394","N2",1479,219.888,223.923,7.4,2
"395","N2",1479,223.923,224.223,10,3
"396","N2",1479,224.223,225.173,7.4,2
"397","N2",1479,225.173,225.323,7.5,2
"398","N2",1479,225.323,225.528,16,4
"399","N2",1479,225.528,225.643,8,2
"400","N2",1479,225.643,226.683,8,2
"401","N2",1479,226.683,228.795,7.4,2
"402","N2",1479,228.795,229.15,17.2,5
"403","N2",1479,229.15,286.516,7.3,2
"404","N203",1793,0,0.03,8,2
"405","N203",1793,0.03,0.44,5.5,2
"406","N203",1793,0.44,0.5,7.5,2
"407","N203",1793,0.5,0.975,10,3
"408","N204",1337,0,0.032,18.75,6
"409","N204",1337,0.032,0.07,8.5,2
"410","N204",1337,0.07,0.9,5.2,1.5
"411","N204",1337,0.9,2.6,5.19,1.5
"412","N204",1337,2.6,4.2,5.24,1.5
"413","N204",1337,4.2,5.8,5.28,1.5
"414","N204",1337,5.8,7.6,5.33,1.5
"415","N204",1337,7.6,8.32,5.44,1.5
"416","N204",1337,8.32,9.55,5.46,1.5
"417","N204",1337,9.55,11.25,5.27,1.5
"418","N204",1337,11.25,12.85,5.24,1.5
"419","N204",1337,12.85,14.3,5.27,1.5
"420","N204",1337,14.3,16.75,5.24,1.5
"421","N204",1337,16.75,18.3,5.21,1.5
"422","N204",1337,18.3,19.9,5.28,1.5
"423","N204",1337,19.9,20.4,5.21,1.5
"424","N204",1337,20.4,21.9,5.4,1.5
"425","N204",1337,21.9,23.25,5.47,1.5
"426","N204",1337,23.25,24.9,5.46,1.5
"427","N204",1337,24.9,25.55,5.42,1.5
"428","N204",1337,25.55,26.2,6.95,2
"429","N204",1337,26.2,27.8,5.41,1.5
"430","N204",1337,27.8,29.3,5.42,1.5
"431","N204",1337,29.3,31.1,5.38,1.5
"432","N204",1337,31.1,32.8,5.42,1.5
"433","N204",1337,32.8,33.23,5.6,2
"434","N204",1337,33.23,34.325,5.58,2
"435","N204",1337,34.325,34.421,12,4
"436","N205",1535,0,0.11,7.8,2
"437","N205",1535,0.11,1.2,7.81,2
"438","N205",1535,1.2,1.85,7.21,2
"439","N205",1535,1.85,2.478,9.9,3
"440","N206",1536,0,0.025,8.8,2
"441","N206",1536,0.025,0.377,9,3
"442","N206",1536,0.377,0.825,7.5,2
"443","N206",1536,0.825,0.85,12,4
"444","N206",1536,0.85,1.452,12,4
"445","N206",1536,1.452,1.6,13,4
"446","N206",1536,1.6,1.797,15.8,4
"447","N207",1345,0,0.72,8.4,2
"448","N207",1345,0.72,4.45,7.2,2
"449","N207",1345,4.45,5,5.7,2
"450","N207",1345,5,6.5,7.8,2
"451","N207",1345,6.5,8,7.9,2
"452","N207",1345,8,9.4,7.95,2
"453","N207",1345,9.4,10.7,7.9,2
"454","N207",1345,10.7,11.8,7.96,2
"455","N207",1345,11.8,12.1,10.3,3
"456","N207",1345,12.1,13.4,8,2
"457","N207",1345,13.4,14,7.4,2
"458","N207",1345,14,15.9,7.4,2
"459","N207",1345,15.9,17.2,7.6,2
"460","N207",1345,17.2,18.6,7.4,2
"461","N207",1345,18.6,19.5,7.5,2
"462","N207",1345,19.5,20.8,7.45,2
"463","N207",1345,20.8,22.2,7.65,2
"464","N207",1345,22.2,23.6,7.45,2
"465","N207",1345,23.6,24.56,7.3,2
"466","N207",1345,24.56,24.73,7.3,2
"467","N207",1345,24.73,24.9,7.35,2
"468","N207",1345,24.9,25.37,7.6,2
"469","N207",1345,25.37,25.58,7.35,2
"470","N207",1345,25.58,26.35,6.9,2
"471","N207",1345,26.35,27.28,7.3,2
"472","N207",1345,27.28,29.4,5.1,1.5
"473","N207",1345,29.4,31.2,5.3,1.5
"474","N207",1345,31.2,32.625,5.3,1.5
"475","N207",1345,32.625,33.9,7.35,2
"476","N207",1345,33.9,35.4,7.42,2
"477","N207",1345,35.4,36.6,7.42,2
"478","N207",1345,36.6,37.5,7.4,2
"479","N207",1345,37.5,38.9,7.4,2
"480","N207",1345,38.9,40.4,7.51,2
"481","N207",1345,40.4,41.9,7.6,2
"482","N207",1345,41.9,42.5,7.62,2
"483","N207",1345,42.5,43.33,8.45,2
"484","N207",1345,43.33,43.6,11,4
"485","N207",1345,43.6,43.84,10.6,3
"486","N207",1345,43.84,44,10.6,3
"487","N207",1345,44,44.72,10.53,3
"488","N207",1345,44.72,44.94,13.2,4
"489","N207",1345,44.94,46.1,10.59,3
"490","N207",1345,46.1,46.9,13.2,4
"491","N207",1345,46.9,48.2,12.4,4
"492","N207",1345,48.2,49.4,5.5,2
"493","N207",1345,49.4,50.85,5.6,2
"494","N207",1345,50.85,52.66,5.6,2
"495","N207",1345,52.66,52.88,6.8,2
"496","N207",1345,52.88,54.1,5.7,2
"497","N207",1345,54.1,55.8,5.52,2
"498","N207",1345,55.8,57.2,5.5,2
"499","N207",1345,57.2,58.7,5.6,2
"500","N207",1345,58.7,60.2,5.6,2
"501","N207",1345,60.2,61.47,5.53,2
"502","N207",1345,61.47,61.6,8,2
"503","N207",1345,61.6,62.95,5.62,2
"504","N207",1345,62.95,63.4,5.6,2
"505","N207",1345,63.4,64.475,5.6,2
"506","N207",1345,64.475,66.585,5.57,2
"507","N207",1345,66.585,67.385,5.62,2
"508","N207",1345,67.385,67.57,5.63,2
"509","N207",1345,67.57,67.655,16.4,4
"510","N207",1345,67.655,67.985,24.9,8
"511","N208",1578,0,0.05,7.8,2
"512","N208",1578,0.05,1.2,5.9,2
"513","N208",1578,1.2,2.22,5.9,2
"514","N208",1578,2.22,2.41,5.9,2
"515","N208",1578,2.41,2.81,5.9,2
"516","N208",1578,2.81,3.12,17.8,4
"517","N208",1578,3.12,3.71,7.5,2
"518","N208",1578,3.71,4.3,6.7,2
"519","N208",1578,4.3,5.8,6.9,2
"520","N208",1578,5.8,7.4,6.8,2
"521","N208",1578,7.4,9.2,6.8,2
"522","N208",1578,9.2,11.3,6.8,2
"523","N208",1578,11.3,12.7,6.8,2
"524","N208",1578,12.7,12.74,6.7,2
"525","N208",1578,12.74,13.41,6.8,2
"526","N208",1578,13.41,13.57,6.8,2
"527","N208",1578,13.57,14,10,3
"528","N208",1578,14,16.3,5.61,2
"529","N208",1578,16.3,17.6,5.62,2
"530","N208",1578,17.6,18.4,5.6,2
"531","N208",1578,18.4,20.1,5.64,2
"532","N208",1578,20.1,21.45,5.62,2
"533","N208",1578,21.45,21.56,5.6,2
"534","N208",1578,21.56,22.2,5.7,2
"535","N208",1578,22.2,24.8,5.6,2
"536","N208",1578,24.8,26.2,5.6,2
"537","N208",1578,26.2,27.35,5.6,2
"538","N208",1578,27.35,28.8,7.8,2
"539","N208",1578,28.8,30.45,8,2
"540","N208",1578,30.45,31.4,5.7,2
"541","N208",1578,31.4,33.2,5.7,2
"542","N208",1578,33.2,35,5.62,2
"543","N208",1578,35,36.3,8.3,2
"544","N208",1578,36.3,37.7,5.7,2
"545","N208",1578,37.7,38.18,8.32,2
"546","N208",1578,38.18,40,5.6,2
"547","N208",1578,40,41.85,5.6,2
"548","N208",1578,41.85,43.2,5.6,2
"549","N208",1578,43.2,44.8,5.6,2
"550","N208",1578,44.8,46.2,5.71,2
"551","N208",1578,46.2,47.85,5.6,2
"552","N208",1578,47.85,49.12,5.6,2
"553","N208",1578,49.12,50.8,5.6,2
"554","N208",1578,50.8,52.3,5.6,2
"555","N208",1578,52.3,53.35,5.6,2
"556","N208",1578,53.35,53.51,7.6,2
"557","N208",1578,53.51,54.9,8.1,2
"558","N208",1578,54.9,56.2,8,2
"559","N208",1578,56.2,57.495,8.1,2
"560","N209",1338,0,0.295,8.1,2
"561","N209",1338,0.295,0.755,12.8,4
"562","N209",1338,0.755,1.33,8.8,2
"563","N210",1117,0,0.055,14.5,4
"564","N210",1117,0.055,1.6,7.25,2
"565","N210",1117,1.6,3.6,7.28,2
"566","N210",1117,3.6,5.39,7.32,2
"567","N210",1117,5.39,5.45,14.35,4
"568","N210",1117,5.45,5.75,7.32,2
"569","N210",1117,5.75,5.98,14.6,4
"570","N210",1117,5.98,6.39,7.32,2
"571","N210",1117,6.39,6.56,14.45,4
"572","N210",1117,6.56,7.95,7.25,2
"573","N210",1117,7.95,9.4,7.3,2
"574","N210",1117,9.4,10.802,7.34,2
"575","N210",1117,10.802,10.844,7.3,2
"576","N211",1707,0,0.3,7.32,2
"577","N211",1707,0.3,0.9,7.32,2
"578","N211",1707,0.9,1.148,7.5,2
"579","N212",1690,0,0.04,21.5,6
"580","N212",1690,0.04,0.21,12.5,4
"581","N212",1690,0.21,0.49,9.05,3
"582","N213",1784,0,0.07,10,3
"583","N213",1784,0.07,0.5,7.3,2
"584","N3",1525,0,2.26,30.2,8
"585","N3",1525,2.26,3.6,32.8,8
"586","N3",1525,3.6,5.39,30.2,8
"587","N3",1525,5.39,9.3,31,8
"588","N3",1525,9.3,10.6,26.1,8
"589","N3",1525,10.6,12.7,14.7,4
"590","N3",1525,12.7,16,14.6,4
"591","N3",1525,16,19.8,14.7,4
"592","N3",1525,19.8,21.1,14.7,4
"593","N3",1525,21.1,21.8,14.6,4
"594","N3",1525,21.8,22.34,30,8
"595","N3",1525,22.34,23.5,22.4,6
"596","N3",1525,23.5,48.405,14.95,4
"597","N3",1525,48.405,108.1,14.6,4
"598","N3",1525,108.1,109.999,14.6,4
"599","N3",1525,109.999,111.583,7.3,2
"600","N302",1620,0,0.15,36,8
"601","N302",1620,0.15,1.1,8.9,2
"602","N302",1620,1.1,1.9,8.8,2
"603","N302",1620,1.9,3.76,9.2,3
"604","N302",1620,3.76,5.57,9.3,3
"605","N302",1620,5.57,5.78,9.2,3
"606","N302",1620,5.78,5.9,11.5,4
"607","N302",1620,5.9,9.4,9.6,3
"608","N302",1620,9.4,13.45,7.3,2
"609","N302",1620,13.45,13.55,17.2,4
"610","N302",1620,13.55,17.4,7.3,2
"611","N302",1620,17.4,17.555,11,3
"612","N303",1779,0,1.009,5.5,2
"613","N309",1577,0,0.03,21,4
"614","N309",1577,0.03,1,7.15,2
"615","N309",1577,1,2.1,7.12,2
"616","N309",1577,2.1,3.16,7.18,2
"617","N309",1577,3.16,3.2,10.3,3
"618","N309",1577,3.2,3.25,8.5,2
"619","N309",1577,3.25,4.45,7.16,2
"620","N309",1577,4.45,5.74,7.16,2
