"","road.road","chainage.road","lrp","lat.road","lon.road","type.road","condition","road.bridge","chainage.bridge","lat.bridge","lon.bridge","type.bridge","destination"
"45","N1",17.863,"LRP018a",23.6508889,90.5826382,"Bridge",NA,"N1",17.863,23.6508889,90.5826382,"Bridge","LRP018b"
"46","N1",17.904,"LRP018b",23.6506944,90.5829993,"Bridge",NA,"N1",17.904,23.6506944,90.5829993,"Bridge","LRP019"
"47","N1",18.524,"LRP019",23.6476108,90.588083,"KmPost",NA,"N1",18.524,23.6476108,90.588083,"KmPost","LRP019a"
"48","N1",18.878,"LRP019a",23.6449441,90.5899163,"Culvert",NA,"N1",18.878,23.6449441,90.5899163,"Culvert","LRP019b"
"49","N1",19.521,"LRP019b",23.6397497,90.5926941,"Culvert",NA,"N1",19.521,23.6397497,90.5926941,"Culvert","LRP020"
"50","N1",19.524,"LRP020",23.6396941,90.5927219,"KmPost",NA,"N1",19.524,23.6396941,90.5927219,"KmPost","LRP020a"
"51","N1",20.044,"LRP020a",23.6358608,90.5948052,"SideRoad,Left",NA,"N1",20.044,23.6358608,90.5948052,"SideRoad,Left","LRP020b"
"52","N1",20.342,"LRP020b",23.6341108,90.5970274,"Bridge",NA,"N1",20.342,23.6341108,90.5970274,"Bridge","LRP020c"
"53","N1",20.442,"LRP020c",23.6335552,90.5976941,"Bridge",NA,"N1",20.442,23.6335552,90.5976941,"Bridge","LRP021"
"54","N1",20.524,"LRP021",23.6330549,90.5982774,"KmPost",NA,"N1",20.524,23.6330549,90.5982774,"KmPost","LRP021a"
"55","N1",21.499,"LRP021a",23.6262771,90.6042222,"Culvert",NA,"N1",21.499,23.6262771,90.6042222,"Culvert","LRP022"
"56","N1",21.629,"LRP022",23.6252216,90.6049722,"KmPost",NA,"N1",21.629,23.6252216,90.6049722,"KmPost","LRP022a"
"57","N1",21.765,"LRP022a",23.6242216,90.6055278,"Bridge",NA,"N1",21.765,23.6242216,90.6055278,"Bridge","LRP022b"
"58","N1",21.993,"LRP022b",23.6224993,90.6066944,"Bridge",NA,"N1",21.993,23.6224993,90.6066944,"Bridge","LRP022c"
"59","N1",22.252,"LRP022c",23.6204716,90.6079722,"Bridge",NA,"N1",22.252,23.6204716,90.6079722,"Bridge","LRP022d"
"60","N1",22.374,"LRP022d",23.6195271,90.6085833,"Bridge",NA,"N1",22.374,23.6195271,90.6085833,"Bridge","LRP023"
"61","N1",22.629,"LRP023",23.6173604,90.6096944,"KmPost",NA,"N1",22.629,23.6173604,90.6096944,"KmPost","LRP023a"
"62","N1",23.564,"LRP023a",23.6095556,90.6121944,"Bridge",NA,"N1",23.564,23.6095556,90.6121944,"Bridge","LRP024"
"63","N1",23.629,"LRP024",23.609,90.6124722,"KmPost",NA,"N1",23.629,23.609,90.6124722,"KmPost","LRP024a"
"64","N1",24.503,"LRP024a",23.6018611,90.6159722,"Bridge",NA,"N1",24.503,23.6018611,90.6159722,"Bridge","LRP025"
"65","N1",24.629,"LRP025",23.6009444,90.6165556,"KmPost",NA,"N1",24.629,23.6009444,90.6165556,"KmPost","LRP026"
"66","N1",25.629,"LRP026",23.5959997,90.624666,"KmPost",NA,"N1",25.629,23.5959997,90.624666,"KmPost","LRP026a"
"67","N1",25.639,"LRP026a",23.5959441,90.6246938,"Culvert",NA,"N1",25.639,23.5959441,90.6246938,"Culvert","LRP026b"
"68","N1",26.313,"LRP026b",23.5917497,90.6293327,"Culvert",NA,"N1",26.313,23.5917497,90.6293327,"Culvert","LRP027"
"69","N1",26.629,"LRP027",23.5896108,90.6313882,"KmPost",NA,"N1",26.629,23.5896108,90.6313882,"KmPost","LRP027a"
"70","N1",27.503,"LRP027a",23.5837497,90.6369441,"Bridge",NA,"N1",27.503,23.5837497,90.6369441,"Bridge","LRP028"
"71","N1",27.629,"LRP028",23.5828327,90.6378886,"KmPost",NA,"N1",27.629,23.5828327,90.6378886,"KmPost","LRP028a"
"72","N1",27.668,"LRP028a",23.5825827,90.6381386,"Bridge",NA,"N1",27.668,23.5825827,90.6381386,"Bridge","LRP028b"
"73","N1",28.324,"LRP028b",23.577916,90.6419719,"Bridge",NA,"N1",28.324,23.577916,90.6419719,"Bridge","LRP028c"
"74","N1",28.363,"LRP028c",23.5776104,90.6421108,"Bridge",NA,"N1",28.363,23.5776104,90.6421108,"Bridge","LRP029"
"75","N1",28.759,"LRP029",23.5745271,90.6436941,"KmPost",NA,"N1",28.759,23.5745271,90.6436941,"KmPost","LRP029a"
"76","N1",29.067,"LRP029a",23.572166,90.6451108,"Bridge",NA,"N1",29.067,23.572166,90.6451108,"Bridge","LRP029b"
"77","N1",29.113,"LRP029b",23.5718327,90.6453052,"Bridge",NA,"N1",29.113,23.5718327,90.6453052,"Bridge","LRP030"
"78","N1",29.759,"LRP030",23.5666111,90.6481663,"KmPost",NA,"N1",29.759,23.5666111,90.6481663,"KmPost","LRP030a"
"79","N1",30.127,"LRP030a",23.5639167,90.6501944,"Bridge",NA,"N1",30.127,23.5639167,90.6501944,"Bridge","LRP030b"
"80","N1",30.165,"LRP030b",23.5636944,90.6504722,"Bridge",NA,"N1",30.165,23.5636944,90.6504722,"Bridge","LRP030c"
"81","N1",30.697,"LRP030c",23.5604167,90.6542222,"Bridge",NA,"N1",30.697,23.5604167,90.6542222,"Bridge","LRP030d"
"82","N1",30.735,"LRP030d",23.5602222,90.6545,"Bridge",NA,"N1",30.735,23.5602222,90.6545,"Bridge","LRP031"
"83","N1",30.774,"LRP031",23.5599722,90.6548056,"KmPost",NA,"N1",30.774,23.5599722,90.6548056,"KmPost","LRP031a"
"84","N1",30.936,"LRP031a",23.5590278,90.6559444,"SideRoad,Right",NA,"N1",30.936,23.5590278,90.6559444,"SideRoad,Right","LRP031b"
"85","N1",31.348,"LRP031b",23.5564444,90.6588611,"Bridge",NA,"N1",31.348,23.5564444,90.6588611,"Bridge","LRP031c"
"86","N1",31.388,"LRP031c",23.5562222,90.6591389,"Bridge",NA,"N1",31.388,23.5562222,90.6591389,"Bridge","LRP032"
