ID,LRP,Time,TrafficTruck,TrafficBus,TrafficCar,TrafficMotorbike,TrafficBicycle
1,LRPS,0,364.518824398455,259.349592511413,119.740733116168,146.223858365928,56.019326947529
1,LRPSb,0,381.98139964761,271.773955866504,125.477028076145,153.228847545986,58.7029995701086
1,LRP004a,0,234.205990645321,281.493152030177,94.7924835793604,158.633787058453,60.2299555758728
1,LRP007a,0,220.875422341031,255.462187741435,101.603192113007,197.583283903898,80.8559803521476
1,LRP009a,0,397.73570764359,385.689721375895,103.68760824786,206.7692573354,80.8559803521476
1,LRP012c,0,397.735731880987,385.689745613292,103.687632485257,206.769281572797,80.8560045895445
1,LRP016a,0,397.735756118384,385.689769850688,103.687656722653,206.769305810194,80.8560288269415
1,LRP020a,0,315.88606673004,197.292483615689,118.690605414209,70.4824229465119,13.9505957870645
1,LRP023a,0,315.886090967437,197.292507853086,118.690629651606,70.4824471839088,13.9506311047603
1,LRP031a,0,315.886115204834,197.292532090483,118.690653889003,70.4824714213057,13.9506664224561
1,LRP036a,0,315.886139442231,197.29255632788,118.6906781264,70.4824956587026,13.9507017401519
1,LRP038c,0,295.672150413543,141.934341769699,71.9852142675498,46.438997917146,14.0343855944005
1,LRP046b,0,295.67217465094,141.934366007096,71.9852385049467,46.439022154543,14.0344290437036
1,LRP047a,0,295.672198888337,141.934390244493,71.9852627423437,46.4390463919399,14.0344724930067
1,LRP056c,0,295.672223125734,141.93441448189,71.9852869797406,46.4390706293368,17.7641455273132
1,LRP063a,0,295.672247363131,141.934438719287,71.9853112171375,67.6690582956926,17.7642005231354
1,LRP070b,0,313.753345463132,160.23367339154,74.2878639242422,177.012644437448,32.0081184683757
1,LRP077a,0,457.1879603955,160.233697628937,74.2878881616391,177.012679755144,38.5874159895373
1,LRP084a,0,457.187995713196,160.233721866334,74.287912399036,177.01271507284,38.5874822896862
1,LRP088a,0,457.188031030892,160.233746103731,74.2879366364329,177.012750390535,38.5875485898352
1,LRP089c,0,478.767143153829,152.855446475496,50.8018990239649,126.967575467129,28.0458249070587
1,LRP092,0,478.767178471525,152.855481793192,50.8019232613618,126.967610784824,28.0458912072076
1,LRP094a,0,478.76721378922,152.855517110888,50.8019474987587,126.96764610252,28.0459575073566
1,LRP108c,0,478.767249106916,152.855552428584,74.0264554426671,126.967681420216,30.118099904334
1,LRP122a,0,346.078666053113,124.354171932332,58.4160339069256,83.5622333038667,21.2808302837283
1,LRP142a,0,346.078701370809,124.354207250027,58.4160692246213,102.801789752843,20.4369035832354
1,LRP143a,0,472.233510704901,260.186065228448,70.4240857905764,158.37344840698,47.1039012460795
1,LRP146a,0,472.233546022597,260.186100546144,70.4241211082722,158.373491856283,47.1039682485862
1,LRP148a,0,544.776093159278,240.690732474358,95.04055506848,145.208353019533,38.8626599256469
1,LRP152a,0,569.664594921227,178.460952506085,82.0436430206228,90.418781821044,46.8795400525557
1,LRP160a,0,670.206282275155,240.690732474358,95.04055506848,145.208353019533,36.1093321304448
1,LRP164a,0,466.733195897262,185.524491662529,75.4392339093475,226.54544840698,44.6383407161627
1,LRP170b,0,466.733239346565,185.524526980225,75.4392692270433,226.545491856283,42.5371593383306
1,LRP184b,0,466.733282795868,228.240058126158,75.4393045447391,226.545535305586,42.5372186633406
1,LRP198a,0,656.432940093728,264.433327601448,73.5674666682814,355.549090325627,46.2738829484494
1,LRP209c,0,656.432983543032,264.433371050751,90.5058107751365,355.549145321449,47.3878083834873
1,LRP231a,0,106.363075013019,108.884865982877,38.5838935806924,196.611219214328,36.3708870536092
1,LRP235b,0,106.363130008841,108.88490943218,38.5839370299955,196.61127421015,36.3709432664479
1,LRP251a,0,106.363185004663,108.884952881483,38.5839804792986,237.024557393526,36.6804898884704
1,LRP254a,0,106.363240000485,108.884996330786,38.5840239286017,237.024623693675,36.6805465796389
1,LRP256a,0,106.363294996307,108.885039780089,38.5840673779048,237.024689993824,36.6806032708074
1,LRP259b,0,104.603428686471,136.214651424696,41.8427651097736,242.726502803376,25.342369579433
1,LRP260c,0,104.603483682293,136.214694873999,41.8428085590767,242.726569103525,25.3424262706015
1,LRP267b,0,114.777710786036,151.129949248598,45.0146076847624,330.176465566306,224.602759975297
1,LRP268a,0,114.777765781858,151.13000424442,45.0146511340655,330.176531866455,224.602816478766
1,LRP269c,0,114.77782077768,151.130059240242,45.0146945833686,330.176598166604,224.602872982235
1,LRP278b,0,112.522992068202,126.656918369077,39.9745754247448,491.285960110924,60.0647700747164
1,LRP281a,0,112.523047064024,126.656973364899,39.9746188740479,491.286026411073,41.560071283256
1,LRP293a,0,112.523102059846,126.657028360721,39.9746623233509,491.286092711222,41.5601103791521
1,LRP293c,0,112.523157055669,126.657083356543,39.974705772654,491.286159011371,41.5601494750481
1,LRP301b,0,240.07489464634,210.470716362513,74.68603139418,162.238519781058,32.1524852323229
1,LRP312a,0,240.074960946489,210.470771358335,74.6860863900021,162.238586081207,32.1525087007592
1,LRP320a,0,240.075027246637,210.470826354157,74.6861413858243,174.225051447705,21.6009271848775
1,LRP321a,0,240.075093546786,210.47088134998,74.6861963816465,174.225122646194,21.6009429515978
1,LRP328b,0,70.7445131328798,107.298718935807,47.463264401361,119.971874241636,7.88389624480799
1,LRP331a,0,70.7445794330287,107.298773931629,47.4633193971832,119.971945440124,7.88391201152834
1,LRP335c,0,70.7446457331777,107.298828927451,47.4633743930054,119.972016638613,7.88392777824869
1,LRP336c,0,70.7447120333266,107.298883923273,47.4634293888275,119.972087837102,7.88394354496904
